Year,BrPak,BR2,BR3,GDPPak,GDP_Ind,GDP_Bangladesh,Women_political_Pak,Women_India,Women_Bangladesh,,,,,,,,,,,,,,,,,,,,,,,,,,
1961,45.76,49.566,42.294,5.987346419,3.722742533,6.058160825,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1962,45.647,49.08,42.101,4.482858627,2.931127735,5.45303097,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1963,45.503,48.618,41.907,8.688831518,5.994353262,-0.45589429,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1964,45.298,48.152,41.721,7.569757449,7.452950123,10.95278855,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1965,45.091,47.789,41.346,10.41936582,-2.63577011,1.606258229,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1966,44.831,47.759,40.918,5.789951801,-0.05532877,2.566812001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1967,44.579,47.578,40.592,5.400612597,7.825963031,-1.87586392,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1968,44.201,47.525,40.207,7.233220925,3.387929176,9.489454015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1969,43.724,47.443,39.792,5.507899634,6.539700299,1.220857909,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1970,43.549,47.608,39.533,11.35346172,5.157229737,5.619852293,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1971,43.445,47.459,39.43,0.468372549,1.642930375,-5.479483027,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1972,43.342,46.955,39.173,0.813406405,-0.553301305,-13.9737287,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1973,43.281,46.676,38.962,7.064263857,3.295521135,3.325680199,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1974,43.115,46.175,38.629,3.540191713,1.185336255,9.5919563,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1975,43.017,46.15,37.937,4.211415631,9.149912016,-4.088214092,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1976,42.941,46.051,37.665,5.15618959,1.663103638,5.661361201,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1977,43.027,45.603,36.89,3.947698287,7.254764588,2.67305605,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1978,43.117,45.452,36.383,8.048533619,5.712532089,7.073837733,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1979,43.235,45.083,36.252,3.758435569,-5.238182704,4.801634601,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1980,43.539,44.734,36.214,10.21570404,6.735821529,0.819141869,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1981,44.156,44.255,36.024,7.920763572,6.006203626,7.233943695,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1982,44.567,42.813,35.605,6.5374868,3.47573324,2.134327836,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1983,44.669,41.81,35.3,6.778378339,7.288892903,3.8810464,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1984,44.469,40.734,35.094,5.065205605,3.820737856,4.803310015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1985,44.245,39.412,34.602,7.592114699,5.254299223,3.342014654,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1986,44.29,38.321,34.483,5.501653664,4.776564168,4.173382559,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1987,44.207,36.98,33.681,6.452343025,3.965355635,3.772401853,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1988,44.011,36.184,33.166,7.62527878,9.627782916,2.416256856,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1989,43.684,34.966,32.549,4.959768894,5.947343332,2.836582129,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1990,43.147,33.449,31.816,4.458586815,5.533454561,5.622258162,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1991,42.531,32.354,31.423,5.061567759,1.056831435,3.485227816,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1992,41.829,31.515,30.914,7.705897817,5.48239602,5.44268555,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1993,40.756,31.336,30.285,1.757747698,4.750776218,4.711561725,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1994,40.097,30.453,29.841,3.737415558,6.65892407,3.890126441,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1995,39.211,29.952,29.361,4.962609146,7.574491838,5.121277897,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1996,38.516,30.203,28.786,4.846581287,7.549522249,4.522919217,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1997,37.683,29.79,28.274,1.014396011,4.04982085,4.489896498,2.30414747,7.155963303,9.090909091,,,,,,,,,,,,,,,,,,,,,,,,,,
1998,37.079,29.322,27.784,2.550234298,6.184415822,5.177026873,2.30414747,8.103130755,9.090909091,,,,,,,,,,,,,,,,,,,,,,,,,,
1999,36.475,28.956,27.26,3.66013274,8.845755559,4.670156369,,8.440366972,9.090909091,,,,,,,,,,,,,,,,,,,,,,,,,,
2000,35.761,28.49,27.001,4.260088011,3.840991157,5.293294719,,9.007352941,9.090909091,,,,,,,,,,,,,,,,,,,,,,,,,,
